https://github.com/linuxserver/docker-wireguard

-p 51820/udp 	порт защиты от проводов

-e PUID=1000 	для UserID - см. объяснение ниже

-e PGID=1000 	для GroupID — пояснения см. ниже.

-e TZ=Etc/UTC 	укажите часовой пояс, который будет использоваться, см. этот список .

-e SERVERURL=wireguard.domain.com 	Внешний IP-адрес или доменное имя для хоста докера. Используется в режиме сервера. Если установлено значение auto, контейнер попытается автоматически определить и установить внешний IP-адрес.

-e SERVERPORT=51820 	Внешний порт для хоста докера. Используется в режиме сервера.

-e PEERS=1 	Количество пиров, для которых нужно создать конфигурации. Требуется для режима сервера. Также может быть список имен: myPC,myPhone,myTablet (только буквенно-цифровой)

-e PEERDNS=auto 	DNS-сервер установлен в конфигурациях однорангового/клиентского узла (может быть установлен как 8.8.8.8). Используется в режиме сервера. По умолчанию auto, который использует DNS хоста докера Wireguard через включенную пересылку CoreDNS.

-e INTERNAL_SUBNET=10.13.13.0 	Внутренняя подсеть для Wireguard, сервера и узлов (изменяется только в случае конфликта). Используется в режиме сервера.

-e ALLOWEDIPS=0.0.0.0/0 	IP-адреса/диапазоны, к которым одноранговые узлы смогут получить доступ с помощью VPN-соединения. Если не указано, значение по умолчанию: '0.0.0.0/0, ::0/0'. Это приведет к тому, что ВЕСЬ трафик будет маршрутизироваться через VPN. Если вы хотите разделить туннелирование, установите для этого параметра только те IP-адреса, которые вы хотите использовать. туннель И IP-адрес рабочей группы сервера, например 10.13.13.1.

-e PERSISTENTKEEPALIVE_PEERS= 	Установлен в all или список пиров, разделенных запятыми (т. 1,4,laptop), чтобы сервер Wireguard отправлял пакеты поддержки активности перечисленным узлам каждые 25 секунд. Полезно, если доступ к серверу осуществляется через доменное имя и имеет динамический IP-адрес. Используется только в режиме сервера.

-e LOG_CONFS=true 	Сгенерированные QR-коды будут отображаться в журнале докера. Установлен в false чтобы пропустить вывод журнала.

-v /config 	Содержит все соответствующие файлы конфигурации.

-v /lib/modules 	Размещайте модули ядра для ситуаций, когда они еще не загружены.

--sysctl= 	Требуется для режима клиента. 
